Name,Position,Nat,Height,Age,Tck W,Tck R,Tck A,Shot/90,ShT/90,ShT,Shots,Svt,Svp,Svh,Ps C/90,Ps C,Ps A/90,Pas A,Off,Gl Mst,K Tck,K Ps/90,K Pas,K Hdrs,Int/90,Itc,Hdr %,Hdrs W/90,Hdrs,Drb,Dist/90,Distance,Cr C,Cr C/A,Cr A,CCC,Ch C/90,Asts/90,Aer A/90,Apps,Gls,Ast,xG,PoM,Pas %,Tck,DrbPG,Shot %,Yel,Red,Av Rat,Hdrs A,Mins,Club,Preferred Foot
Denis Vavro,D (C),SVK,"189,00","30,00","38,00","0,79","0,00","0,85","0,42","13,00","26,00","0,00","0,00","0,00","37,65","1 158,00","41,75","1 284,00","1,00","0,00","18,00","0,00","0,00","113,00","0,88","27,00","0,77","3,80","117,00","0,00","44 721,00",294.5,"0,00","0,00","1,00","0,00","0,00","0,00","4,91",30 (3),"3,00","0,00","3,65","0,00","0,90","1,24","0,00","0,50","4,00","0,00","6,96","151,00","2 768,00",Levante,Right
Valeriy Bondar,D (C),UKR,"184,00","27,00","24,00","0,73","0,00","0,11","0,00","0,00","1,00","0,00","0,00","0,00","35,78","320,00","37,45","335,00","0,00","0,00","9,00","0,00","0,00","21,00","1,45","13,00","0,58","2,35","21,00","0,00","44 782,00",87.9,"0,00","0,00","0,00","0,00","0,00","0,00","4,02",9 (8),"0,00","0,00","0,05","0,00","0,96","2,68","0,00","0,00","0,00","0,00","6,97","36,00","805,00",Levante,Right
Andoni Gorosabel,D/WB (R),ESP,"174,00","29,00","98,00","0,80","0,00","0,41","0,14","4,00","12,00","0,00","0,00","0,00","36,87","1 091,00","40,12","1 187,00","11,00","1,00","26,00","1,08","32,00","17,00","1,52","45,00","0,42","1,08","32,00","10,00","44 724,00",372.2,"24,00","0,13","179,00","4,00","0,14","0,10","2,60",30 (2),"0,00","3,00","1,26","0,00","0,92","3,31","0,34","0,33","3,00","0,00","6,78","77,00","2 663,00",Levante,Right
Leonardo Balerdi,"D (C), DM",ARG,"187,00","27,00","10,00","0,67","0,00","0,57","0,00","0,00","4,00","0,00","0,00","0,00","45,78","324,00","47,05","333,00","0,00","0,00","5,00","0,14","1,00","17,00","1,41","10,00","0,55","1,70","12,00","0,00","44 751,00",68.4,"0,00","0,00","1,00","0,00","0,00","0,14","3,11",7 (4),"0,00","1,00","0,27","0,00","0,97","1,41","0,00","0,00","3,00","0,00","7,01","22,00","637,00",Levante,Right
Rúben Vezo,"D (RC), DM",POR,"182,00","32,00","64,00","0,74","0,00","0,36","0,11","4,00","13,00","0,00","0,00","0,00","44,64","1 597,00","46,26","1 655,00","1,00","2,00","18,00","0,14","5,00","114,00","1,23","44,00","0,70","3,63","130,00","1,00","44 751,00",347.0,"0,00","0,00","3,00","0,00","0,00","0,00","5,23","36,00","1,00","0,00","1,53","0,00","0,96","1,79","0,03","0,31","7,00","1,00","7,08","187,00","3 220,00",Levante,Right
Nemanja Radoja,"D (C), DM, M (C)",SRB,"186,00","33,00","30,00","0,75","0,00","0,99","0,12","1,00","8,00","0,00","0,00","0,00","57,02","460,00","62,73","506,00","1,00","0,00","6,00","0,87","7,00","1,00","1,24","10,00","0,43","1,12","9,00","1,00","44 754,00",102.8,"0,00","0,00","2,00","0,00","0,00","0,25","2,60",5 (12),"0,00","2,00","0,51","0,00","0,91","3,72","0,12","0,13","0,00","0,00","6,85","21,00","726,00",Levante,Right
Nattaphon Boonma,"D/WB (R), DM, AM (R)",THA,"171,00","21,00","19,00","0,70","0,00","0,46","0,37","4,00","5,00","0,00","0,00","0,00","33,66","365,00","36,61","397,00","3,00","0,00","4,00","1,20","13,00","2,00","0,83","9,00","0,33","0,74","8,00","5,00","44 605,00",143.1,"10,00","0,17","58,00","0,00","0,00","0,18","2,21",9 (9),"1,00","2,00","0,35","0,00","0,92","1,75","0,46","0,80","3,00","0,00","6,61","24,00","976,00",Levante,Right
Toni Herrero,"D (LC), WB (L)",ESP,"181,00","25,00","70,00","0,79","0,00","0,22","0,22","5,00","5,00","0,00","0,00","0,00","37,79","868,00","41,93","963,00","10,00","2,00","15,00","0,65","15,00","31,00","1,70","39,00","0,62","2,61","60,00","5,00","44 632,00",282.9,"9,00","0,12","74,00","0,00","0,00","0,04","4,22",23 (5),"2,00","1,00","0,33","1,00","0,90","3,05","0,22","1,00","3,00","0,00","6,80","97,00","2 067,00",Levante,Left Only
Youssouf Koné,D/WB/M (L),MLI,"174,00","30,00","53,00","0,75","0,00","0,25","0,06","1,00","4,00","0,00","0,00","0,00","34,10","535,00","37,92","595,00","6,00","0,00","12,00","1,08","17,00","12,00","2,04","32,00","0,39","1,08","17,00","6,00","44 785,00",200.9,"11,00","0,13","79,00","0,00","0,00","0,06","2,80",16 (6),"0,00","1,00","0,27","0,00","0,90","3,38","0,38","0,25","1,00","0,00","6,64","44,00","1 412,00",Levante,Left Only
Gonzalo Melero,"DM, M/AM (C)",ESP,"183,00","32,00","68,00","0,75","0,00","0,91","0,22","5,00","21,00","0,00","0,00","0,00","59,96","1 385,00","65,24","1 507,00","1,00","1,00","7,00","0,65","15,00","27,00","0,78","18,00","0,50","1,04","24,00","2,00","44 693,00",287.8,"5,00","0,22","22,00","1,00","0,04","0,00","2,08",26 (5),"0,00","0,00","2,17","1,00","0,92","2,94","0,09","0,24","3,00","1,00","6,80","48,00","2 079,00",Levante,Right
José Campaña,"DM, M/AM (C)",ESP,"179,00","33,00","76,00","0,80","0,00","0,54","0,18","6,00","18,00","0,00","0,00","0,00","80,12","2 676,00","87,16","2 911,00","0,00","2,00","9,00","1,17","39,00","9,00","0,87","29,00","0,54","0,63","21,00","1,00","44 632,00",410.7,"16,00","0,23","68,00","2,00","0,06","0,06","1,17","35,00","2,00","2,00","1,57","2,00","0,92","2,28","0,03","0,33","4,00","0,00","6,88","39,00","3 006,00",Levante,Right
Mickaël Malsa,"DM, M/AM (C)",MTQ,"178,00","30,00","11,00","1,00","0,00","1,06","0,35","1,00","3,00","0,00","0,00","0,00","48,00","136,00","51,18","145,00","0,00","0,00","0,00","1,76","5,00","0,00","1,41","4,00","0,40","0,71","2,00","0,00","44 754,00",36.0,"2,00","0,33","6,00","0,00","0,00","0,00","1,76",3 (1),"1,00","0,00","0,34","0,00","0,94","3,88","0,00","0,33","0,00","0,00","6,98","5,00","255,00",Levante,Right
José Carlos,"DM, M (C), AM (RC)",ESP,"176,00","19,00","7,00","0,58","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","53,92","127,00","60,28","142,00","0,00","0,00","2,00","0,42","1,00","2,00","1,27","3,00","0,33","0,85","2,00","0,00","44 755,00",32.3,"0,00","0,00","6,00","0,00","0,00","0,42","2,55",2 (2),"0,00","1,00","0,00","1,00","0,89","2,97","0,00","0,00","0,00","0,00","6,87","6,00","212,00",Levante,Right Only
Takefusa Kubo,"M/AM (RC), ST (C)",JPN,"167,00","25,00","32,00","0,70","0,00","0,88","0,42","11,00","23,00","0,00","0,00","0,00","35,86","942,00","41,57","1 092,00","3,00","0,00","1,00","1,71","45,00","3,00","1,29","34,00","0,42","0,72","19,00","12,00","44 725,00",358.1,"26,00","0,23","111,00","4,00","0,15","0,27","1,71","28,00","3,00","7,00","2,74","1,00","0,86","1,22","0,46","0,48","2,00","0,00","6,78","45,00","2 364,00",Levante,Left
Enis Bardhi,"M/AM (LC), ST (C)",MKD,"172,00","30,00","56,00","0,85","0,00","1,87","0,73","20,00","51,00","0,00","0,00","0,00","35,59","970,00","41,20","1 123,00","2,00","2,00","2,00","2,86","78,00","1,00","1,21","33,00","0,33","0,51","14,00","17,00","44 694,00",368.9,"58,00","0,17","327,00","1,00","0,04","0,11","1,54","28,00","6,00","3,00","5,78","3,00","0,86","2,05","0,62","0,39","2,00","0,00","6,87","42,00","2 453,00",Levante,Right
Jorge De Frutos,M/AM (RL),ESP,"173,00","29,00","52,00","0,74","0,00","1,27","0,68","20,00","37,00","0,00","0,00","0,00","28,46","831,00","32,50","949,00","21,00","0,00","1,00","0,99","29,00","1,00","1,61","47,00","0,36","0,92","27,00","32,00","44 755,00",400.6,"18,00","0,15","115,00","1,00","0,03","0,10","2,53",31 (2),"6,00","3,00","5,47","0,00","0,88","1,78","1,10","0,54","0,00","0,00","6,65","74,00","2 628,00",Levante,Right
Gaspar,"M (RL), AM (RLC)",ESP,"175,00","26,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Levante,Right
Domingo Sanz,M/AM (L),ESP,"171,00","20,00","2,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","10,00","0,00","12,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","44 776,00","0,00","0,00","3,00","0,00","0,00","0,00","0,00",0 (1),"0,00","0,00","0,00","0,00","0,83","7,50","0,00","0,00","0,00","0,00","6,70","1,00","24,00",Levante,Right Only
Juan Francisco,"AM (R), ST (C)",ESP,"173,00","20,00","2,00","0,67","0,00","0,89","0,00","0,00","2,00","0,00","0,00","0,00","34,31","77,00","37,87","85,00","0,00","0,00","1,00","0,45","1,00","0,00","1,34","3,00","0,50","0,89","2,00","0,00","44 606,00","44 804,00","0,00","0,00","4,00","0,00","0,00","0,00","1,78",1 (6),"0,00","0,00","0,12","0,00","0,91","0,89","0,00","0,00","1,00","0,00","6,50","4,00","202,00",Levante,Left
Dani Gómez,"AM (LC), ST (C)",ESP,"177,00","27,00","16,00","0,76","0,00","1,25","0,45","12,00","33,00","0,00","0,00","0,00","27,59","730,00","31,26","827,00","5,00","0,00","1,00","0,87","23,00","2,00","1,21","32,00","0,29","0,83","22,00","10,00","44 574,00",347.1,"4,00","0,21","19,00","2,00","0,08","0,04","2,87",29 (4),"4,00","1,00","4,44","1,00","0,88","0,60","0,38","0,36","5,00","0,00","6,61","76,00","2 381,00",Levante,Right
Raul García,"AM (RL), ST (C)",ESP,"191,00","25,00","11,00","0,73","0,00","1,99","0,50","4,00","16,00","0,00","0,00","0,00","32,94","265,00","37,17","299,00","3,00","0,00","2,00","0,87","7,00","13,00","2,36","19,00","0,55","2,61","21,00","6,00","44 725,00",109.4,"2,00","0,12","16,00","0,00","0,00","0,12","4,72",8 (5),"1,00","1,00","1,84","0,00","0,89","1,37","0,75","0,25","0,00","0,00","6,69","38,00","724,00",Levante,Right
Toni Martínez,ST (C),ESP,"187,00","28,00","11,00","0,79","0,00","1,60","0,74","12,00","26,00","0,00","0,00","0,00","24,79","404,00","27,61","450,00","6,00","0,00","0,00","0,67","11,00","13,00","0,67","11,00","0,36","1,84","30,00","1,00","44 574,00",214.0,"0,00","0,00","3,00","0,00","0,00","0,12","5,15",15 (14),"3,00","2,00","3,92","0,00","0,90","0,67","0,06","0,46","0,00","0,00","6,72","84,00","1 467,00",Levante,Right
Javier Belman,GK,ESP,"184,00","27,00","1,00","0,33","0,00","0,00","0,00","0,00","0,00","4,00","3,00","23,00","8,00","32,00","19,00","76,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","44 776,00",15.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","4,00","0,00","0,00","0,00","1,00","0,42","0,25","0,00","0,00","0,00","0,00","7,00","0,00","360,00",Girona,Right
Miguel Morro,GK,ESP,"194,00","25,00","1,00","0,09","0,00","0,00","0,00","0,00","0,00","27,00","29,00","91,00","10,44","355,00","22,21","755,00","0,00","1,00","0,00","0,15","5,00","0,00","0,09","3,00","0,00","0,00","0,00","0,00","44 596,00",141.8,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","34,00","0,00","0,00","0,00","1,00","0,47","0,03","0,00","0,00","0,00","0,00","6,73","0,00","3 060,00",Girona,Left
Finley Burns,D (C),ENG,"196,00","22,00","31,00","0,86","0,00","0,73","0,22","5,00","17,00","0,00","0,00","0,00","17,89","414,00","24,58","569,00","0,00","0,00","9,00","0,22","5,00","96,00","0,95","22,00","0,76","3,76","87,00","0,00","44 721,00",222.2,"1,00","0,33","3,00","0,00","0,00","0,04","4,93",23 (4),"1,00","1,00","1,09","0,00","0,73","1,34","0,00","0,29","9,00","0,00","6,76","114,00","2 083,00",Girona,Right Only
David García,D (C),ESP,"185,00","32,00","39,00","0,81","0,00","0,43","0,21","5,00","10,00","0,00","0,00","0,00","19,45","456,00","24,10","565,00","0,00","0,00","19,00","0,04","1,00","100,00","0,68","16,00","0,80","4,35","102,00","0,00","44 721,00",225.0,"0,00","0,00","1,00","0,00","0,00","0,00","5,46",23 (4),"1,00","0,00","0,52","1,00","0,81","1,66","0,00","0,50","4,00","0,00","6,82","128,00","2 110,00",Girona,Right
Quique Clemente,D (LC),ESP,"180,00","27,00","53,00","0,80","0,00","0,25","0,12","4,00","8,00","0,00","0,00","0,00","29,53","964,00","31,31","1 022,00","2,00","0,00","27,00","0,03","1,00","96,00","1,56","51,00","0,56","3,12","102,00","1,00","44 782,00",318.3,"1,00","0,25","4,00","0,00","0,00","0,00","5,61","33,00","1,00","0,00","0,45","0,00","0,94","1,62","0,03","0,50","11,00","0,00","6,78","183,00","2 938,00",Girona,Left Only
Ander Capa,D/WB/M/AM (R),ESP,"175,00","34,00","53,00","0,78","0,00","0,32","0,09","2,00","7,00","0,00","0,00","0,00","25,37","550,00","28,32","614,00","5,00","1,00","16,00","1,20","26,00","11,00","1,29","28,00","0,33","0,83","18,00","7,00","44 663,00",267.8,"21,00","0,15","139,00","0,00","0,00","0,00","2,54",21 (5),"1,00","0,00","1,10","0,00","0,90","2,44","0,32","0,29","3,00","0,00","6,48","55,00","1 951,00",Girona,Right
Diego Moreno,D/WB (R),ESP,"173,00","25,00","2,00","0,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","25,81","37,00","32,09","46,00","1,00","0,00","0,00","1,40","2,00","0,00","0,70","1,00","0,00","0,00","0,00","1,00","44 724,00",18.0,"1,00","0,16","6,00","1,00","0,70","0,70","2,79",1 (3),"0,00","1,00","0,00","0,00","0,80","1,40","0,70","0,00","0,00","0,00","6,70","4,00","129,00",Girona,Right
Martin Kuc,D/WB (R),SVK,"160,00","19,00","36,00","0,90","0,00","0,16","0,00","0,00","2,00","0,00","0,00","0,00","23,99","309,00","26,79","345,00","1,00","1,00","11,00","1,24","16,00","6,00","1,40","18,00","0,40","0,93","12,00","4,00","44 663,00",159.7,"12,00","0,19","61,00","1,00","0,08","0,00","2,33","14,00","0,00","0,00","0,17","0,00","0,90","2,80","0,31","0,00","3,00","0,00","6,58","30,00","1 159,00",Girona,Right
Cristo Romero,D/WB/M/AM (L),ESP,"173,00","26,00","119,00","0,83","0,00","0,46","0,26","9,00","16,00","0,00","0,00","0,00","27,31","955,00","31,74","1 110,00","12,00","1,00","30,00","2,06","72,00","20,00","1,97","69,00","0,41","1,34","47,00","21,00","44 724,00",441.0,"71,00","0,15","467,00","1,00","0,03","0,11","3,29",35 (1),"3,00","4,00","1,11","4,00","0,86","3,40","0,60","0,56","7,00","0,00","6,83","115,00","3 147,00",Girona,Left
Ángel López,"D (RLC), WB (L)",ESP,"175,00","23,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","0,00",0.6,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",0 (1),"0,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Girona,Either
Sebastián Cristóforo,"DM, M (C)",URU,"173,00","32,00","73,00","0,78","0,00","0,54","0,24","5,00","11,00","0,00","0,00","0,00","39,10","802,00","43,05","883,00","0,00","1,00","4,00","1,02","21,00","6,00","0,83","17,00","0,62","0,88","18,00","1,00","44 816,00",264.8,"3,00","0,15","20,00","0,00","0,00","0,10","1,41",20 (7),"2,00","2,00","0,85","1,00","0,91","3,56","0,05","0,45","2,00","0,00","6,75","29,00","1 846,00",Girona,Right
Jorge Alastuey,"DM, M (C), AM (RC)",ESP,"168,00","23,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0.1,"1,00","1,00","1,00","0,00","0,00","0,00","0,00",0 (1),"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Girona,Left
Anass Seddiki,"DM, M (C)",MAR,"174,00","20,00","79,00","0,79","0,00","0,39","0,11","3,00","11,00","0,00","0,00","0,00","55,44","1 572,00","64,57","1 831,00","1,00","1,00","16,00","1,20","34,00","7,00","1,06","30,00","0,35","0,46","13,00","1,00","44 663,00",350.6,"13,00","0,28","45,00","1,00","0,04","0,07","1,30",30 (3),"1,00","2,00","0,97","0,00","0,86","2,79","0,04","0,27","7,00","0,00","6,57","37,00","2 552,00",Girona,Right
Adrià Bernabé,"WB (L), M (C), AM (LC)",ESP,"172,00","25,00","23,00","0,74","0,00","1,06","0,38","5,00","14,00","0,00","0,00","0,00","35,43","470,00","40,70","540,00","1,00","1,00","4,00","1,21","16,00","4,00","1,51","20,00","0,26","0,53","7,00","3,00","44 816,00",171.8,"9,00","0,25","36,00","1,00","0,08","0,00","2,04",13 (2),"1,00","0,00","0,79","0,00","0,87","1,73","0,23","0,36","2,00","0,00","6,69","27,00","1 194,00",Girona,Left Only
Mikel Goti,M/AM (RC),ESP,"177,00","24,00","40,00","0,65","0,00","1,16","0,61","19,00","36,00","0,00","0,00","0,00","30,47","944,00","35,12","1 088,00","7,00","0,00","3,00","1,68","52,00","4,00","0,94","29,00","0,33","1,36","42,00","8,00","44 634,00",442.6,"21,00","0,21","97,00","3,00","0,10","0,26","4,13","33,00","6,00","8,00","5,02","1,00","0,87","1,29","0,26","0,53","4,00","0,00","6,74","128,00","2 788,00",Girona,Left
Daniel Portocarrero,"M/AM (C), ST (C)",PER,"183,00","20,00","17,00","0,52","0,00","2,09","1,06","33,00","65,00","0,00","0,00","0,00","25,05","780,00","28,01","872,00","9,00","0,00","0,00","0,93","29,00","37,00","0,61","19,00","0,41","3,18","99,00","3,00","44 753,00",362.8,"2,00","0,11","17,00","1,00","0,03","0,06","7,77",33 (3),"9,00","2,00","7,90","1,00","0,89","0,55","0,10","0,51","3,00","0,00","6,69","242,00","2 802,00",Girona,Right
Johan Svensson,"M/AM (C), ST (C)",SWE,"181,00","20,00","23,00","0,79","0,00","1,30","0,55","8,00","19,00","0,00","0,00","0,00","29,63","433,00","34,70","507,00","2,00","0,00","1,00","1,30","19,00","5,00","1,37","20,00","0,29","0,96","14,00","4,00","44 725,00",198.9,"2,00","0,13","15,00","0,00","0,00","0,14","3,35",12 (16),"2,00","2,00","2,46","0,00","0,85","1,57","0,27","0,42","0,00","0,00","6,64","49,00","1 315,00",Girona,Right Only
Oscar Bobb,"M (R), AM (RL)",NOR,"175,00","22,00","3,00","1,00","0,00","0,69","0,00","0,00","1,00","0,00","0,00","0,00","24,92","36,00","31,85","46,00","0,00","0,00","0,00","2,08","3,00","0,00","4,15","6,00","0,00","0,00","0,00","2,00","44 756,00","44 613,00","2,00","0,13","15,00","0,00","0,00","0,00","2,77",1 (4),"0,00","0,00","0,06","0,00","0,78","2,08","1,38","0,00","0,00","0,00","6,60","4,00","130,00",Girona,Left
Iván Alejo,"M (R), AM (RL)",ESP,"186,00","31,00","32,00","0,86","0,00","1,94","0,75","15,00","39,00","0,00","0,00","0,00","26,10","524,00","30,48","612,00","4,00","0,00","1,00","1,34","27,00","10,00","1,64","33,00","0,47","1,84","37,00","8,00","44 633,00",268.0,"15,00","0,13","115,00","1,00","0,05","0,05","3,88",19 (11),"4,00","1,00","3,39","0,00","0,86","1,59","0,40","0,38","3,00","0,00","6,67","78,00","1 807,00",Girona,Right
Óscar Clemente,M/AM (LC),ESP,"175,00","27,00","53,00","0,84","0,00","1,50","0,90","30,00","50,00","0,00","0,00","0,00","27,10","905,00","32,59","1 088,00","5,00","1,00","6,00","0,93","31,00","12,00","1,86","62,00","0,48","2,19","73,00","21,00","44 664,00",446.3,"14,00","0,12","113,00","0,00","0,00","0,21","4,55",35 (2),"4,00","7,00","4,88","0,00","0,83","1,59","0,63","0,60","5,00","0,00","6,64","152,00","3 005,00",Girona,Left Only
Fran Pérez,"M (R), AM (RL)",ESP,"181,00","23,00","24,00","0,83","0,00","0,99","0,16","2,00","12,00","0,00","0,00","0,00","23,65","288,00","28,00","341,00","4,00","0,00","2,00","0,33","4,00","4,00","1,56","19,00","0,44","1,15","14,00","5,00","44 574,00",160.1,"4,00","0,06","61,00","0,00","0,00","0,00","2,63","14,00","0,00","0,00","1,30","0,00","0,84","1,97","0,41","0,17","0,00","0,00","6,43","32,00","1 096,00",Girona,Right
Mateo Lisica,"M (L), AM (RL)",CRO,"192,00","22,00","5,00","0,56","0,00","2,89","1,37","9,00","19,00","0,00","0,00","0,00","21,78","143,00","25,89","170,00","2,00","0,00","0,00","1,07","7,00","6,00","1,98","13,00","0,45","4,42","29,00","7,00","44 634,00",94.1,"4,00","0,07","51,00","0,00","0,00","0,30","9,90",5 (13),"1,00","2,00","2,07","1,00","0,84","0,76","1,07","0,47","1,00","0,00","6,74","65,00","591,00",Girona,Left Only
Sergi Guardiola,"AM (RLC), ST (C)",ESP,"187,00","35,00","0,00","0,00","0,00","0,90","0,00","0,00","2,00","0,00","0,00","0,00","23,28","52,00","28,21","63,00","3,00","0,00","0,00","0,90","2,00","0,00","0,90","2,00","0,09","0,45","1,00","0,00","44 663,00","44 739,00","0,00","0,00","1,00","0,00","0,00","0,00","4,93",2 (2),"0,00","0,00","0,29","0,00","0,83","0,00","0,00","0,00","1,00","0,00","6,48","11,00","201,00",Girona,Left
Peru Ruiz,"AM (LC), ST (C)",ESP,"182,00","25,00","8,00","0,80","0,00","1,82","1,25","11,00","16,00","0,00","0,00","0,00","15,49","136,00","17,66","155,00","8,00","0,00","0,00","0,34","3,00","1,00","0,68","6,00","0,19","1,14","10,00","5,00","44 573,00",105.9,"1,00","0,05","17,00","1,00","0,11","0,11","5,92",7 (11),"3,00","1,00","1,66","0,00","0,88","0,91","0,57","0,69","0,00","0,00","6,57","52,00","790,00",Girona,Left
Javier Belman,GK,ESP,"184,00","27,00","1,00","0,33","0,00","0,00","0,00","0,00","0,00","4,00","3,00","23,00","8,00","32,00","19,00","76,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","44 776,00",15.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","4,00","0,00","0,00","0,00","1,00","0,42","0,25","0,00","0,00","0,00","0,00","7,00","0,00","360,00",Girona,Right
Miguel Morro,GK,ESP,"194,00","25,00","1,00","0,09","0,00","0,00","0,00","0,00","0,00","27,00","29,00","91,00","10,44","355,00","22,21","755,00","0,00","1,00","0,00","0,15","5,00","0,00","0,09","3,00","0,00","0,00","0,00","0,00","44 596,00",141.8,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","34,00","0,00","0,00","0,00","1,00","0,47","0,03","0,00","0,00","0,00","0,00","6,73","0,00","3 060,00",Girona,Left
Finley Burns,D (C),ENG,"196,00","22,00","31,00","0,86","0,00","0,73","0,22","5,00","17,00","0,00","0,00","0,00","17,89","414,00","24,58","569,00","0,00","0,00","9,00","0,22","5,00","96,00","0,95","22,00","0,76","3,76","87,00","0,00","44 721,00",222.2,"1,00","0,33","3,00","0,00","0,00","0,04","4,93",23 (4),"1,00","1,00","1,09","0,00","0,73","1,34","0,00","0,29","9,00","0,00","6,76","114,00","2 083,00",Girona,Right Only
David García,D (C),ESP,"185,00","32,00","39,00","0,81","0,00","0,43","0,21","5,00","10,00","0,00","0,00","0,00","19,45","456,00","24,10","565,00","0,00","0,00","19,00","0,04","1,00","100,00","0,68","16,00","0,80","4,35","102,00","0,00","44 721,00",225.0,"0,00","0,00","1,00","0,00","0,00","0,00","5,46",23 (4),"1,00","0,00","0,52","1,00","0,81","1,66","0,00","0,50","4,00","0,00","6,82","128,00","2 110,00",Girona,Right
Quique Clemente,D (LC),ESP,"180,00","27,00","53,00","0,80","0,00","0,25","0,12","4,00","8,00","0,00","0,00","0,00","29,53","964,00","31,31","1 022,00","2,00","0,00","27,00","0,03","1,00","96,00","1,56","51,00","0,56","3,12","102,00","1,00","44 782,00",318.3,"1,00","0,25","4,00","0,00","0,00","0,00","5,61","33,00","1,00","0,00","0,45","0,00","0,94","1,62","0,03","0,50","11,00","0,00","6,78","183,00","2 938,00",Girona,Left Only
Ander Capa,D/WB/M/AM (R),ESP,"175,00","34,00","53,00","0,78","0,00","0,32","0,09","2,00","7,00","0,00","0,00","0,00","25,37","550,00","28,32","614,00","5,00","1,00","16,00","1,20","26,00","11,00","1,29","28,00","0,33","0,83","18,00","7,00","44 663,00",267.8,"21,00","0,15","139,00","0,00","0,00","0,00","2,54",21 (5),"1,00","0,00","1,10","0,00","0,90","2,44","0,32","0,29","3,00","0,00","6,48","55,00","1 951,00",Girona,Right
Diego Moreno,D/WB (R),ESP,"173,00","25,00","2,00","0,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","25,81","37,00","32,09","46,00","1,00","0,00","0,00","1,40","2,00","0,00","0,70","1,00","0,00","0,00","0,00","1,00","44 724,00",18.0,"1,00","0,16","6,00","1,00","0,70","0,70","2,79",1 (3),"0,00","1,00","0,00","0,00","0,80","1,40","0,70","0,00","0,00","0,00","6,70","4,00","129,00",Girona,Right
Martin Kuc,D/WB (R),SVK,"160,00","19,00","36,00","0,90","0,00","0,16","0,00","0,00","2,00","0,00","0,00","0,00","23,99","309,00","26,79","345,00","1,00","1,00","11,00","1,24","16,00","6,00","1,40","18,00","0,40","0,93","12,00","4,00","44 663,00",159.7,"12,00","0,19","61,00","1,00","0,08","0,00","2,33","14,00","0,00","0,00","0,17","0,00","0,90","2,80","0,31","0,00","3,00","0,00","6,58","30,00","1 159,00",Girona,Right
Cristo Romero,D/WB/M/AM (L),ESP,"173,00","26,00","119,00","0,83","0,00","0,46","0,26","9,00","16,00","0,00","0,00","0,00","27,31","955,00","31,74","1 110,00","12,00","1,00","30,00","2,06","72,00","20,00","1,97","69,00","0,41","1,34","47,00","21,00","44 724,00",441.0,"71,00","0,15","467,00","1,00","0,03","0,11","3,29",35 (1),"3,00","4,00","1,11","4,00","0,86","3,40","0,60","0,56","7,00","0,00","6,83","115,00","3 147,00",Girona,Left
Ángel López,"D (RLC), WB (L)",ESP,"175,00","23,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","0,00",0.6,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",0 (1),"0,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Girona,Either
Sebastián Cristóforo,"DM, M (C)",URU,"173,00","32,00","73,00","0,78","0,00","0,54","0,24","5,00","11,00","0,00","0,00","0,00","39,10","802,00","43,05","883,00","0,00","1,00","4,00","1,02","21,00","6,00","0,83","17,00","0,62","0,88","18,00","1,00","44 816,00",264.8,"3,00","0,15","20,00","0,00","0,00","0,10","1,41",20 (7),"2,00","2,00","0,85","1,00","0,91","3,56","0,05","0,45","2,00","0,00","6,75","29,00","1 846,00",Girona,Right
